id,address,number,postal_code,municipality,province,unique_address,points_coordinates,lat,lng
13.0,blvd. fr. roosevelt,24,7060,soignies,hainaut,"blvd. fr. roosevelt,24,7060,soignies,hainaut","(4.0655019, 50.5767646)",50.5767646,4.0655019
70.0,ch. de wégimont,76,4630,ayeneux,liège,"ch. de wégimont,76,4630,ayeneux,liège","(5.7397828, 50.6105697)",50.6105697,5.7397828
74.0,rue des prémontrès,12,4020,liège,liège,"rue des prémontrès,12,4020,liège,liège","(5.5739754, 50.6380181)",50.6380181,5.5739754
75.0,route de bastogne,1,4920,harzé,liège,"route de bastogne,1,4920,harzé,liège","(5.6658992, 50.4411102)",50.4411102,5.6658992
76.0,rue du parc,1,4540,jehay,liège,"rue du parc,1,4540,jehay,liège","(5.3231573, 50.5772875)",50.5772875,5.3231573
77.0,blvd. de la constitution,19,4020,liège,liège,"blvd. de la constitution,19,4020,liège,liège","(5.583673, 50.6434982)",50.6434982,5.583673
79.0,rue darchis,33,4020,liège,liège,"rue darchis,33,4020,liège,liège","(5.567451399999999, 50.6372426)",50.6372426,5.567451399999999
86.0,schumanplein,11,1040,brussel,bruxelles-brussel,"schumanplein,11,1040,brussel,bruxelles-brussel","(4.384307499999999, 50.8428222)",50.8428222,4.384307499999999
95.0,peperstraat,2,3300,tienen,vlaams-brabant,"peperstraat,2,3300,tienen,vlaams-brabant","(4.9373925, 50.8068221)",50.8068221,4.9373925
96.0,graafschap - jettelaan,2,1090,brussel,bruxelles-brussel,"graafschap - jettelaan,2,1090,brussel,bruxelles-brussel","(4.3331515, 50.8830175)",50.8830175,4.3331515
98.0,wemmelsestweg,100,1090,brussel,bruxelles-brussel,"wemmelsestweg,100,1090,brussel,bruxelles-brussel","(4.3571696, 50.8476424)",50.8476424,4.3571696
100.0,rue pietro ferrero,5,6700,arlon,luxembourg,"rue pietro ferrero,5,6700,arlon,luxembourg","(5.820462399999999, 49.6735536)",49.6735536,5.820462399999999
101.0,tweestationsstraat,80,1070,brussel,bruxelles-brussel,"tweestationsstraat,80,1070,brussel,bruxelles-brussel","(4.3274689, 50.832142)",50.832142,4.3274689
102.0,nieuwe weg,1,2070,zwijndrecht,antwerpen,"nieuwe weg,1,2070,zwijndrecht,antwerpen","(4.3253167, 51.2433477)",51.2433477,4.3253167
111.0,hermeslaan,2,1831,machelenbt),vlaams-brabant,"hermeslaan,2,1831,machelenbt),vlaams-brabant","(4.4422935, 50.8812562)",50.8812562,4.4422935
115.0,gemeenteplein,1,3798,voeren  s gravenvoeren,limburg,"gemeenteplein,1,3798,voeren  s gravenvoeren,limburg","(5.7597806, 50.7594861)",50.7594861,5.7597806
116.0,remersdaal-dorp,1,3791,remersdaal,limburg,"remersdaal-dorp,1,3791,remersdaal,limburg","(5.8809444, 50.7311732)",50.7311732,5.8809444
117.0,sint-pieterstraat,20,3792,sint-pieters-voeren,limburg,"sint-pieterstraat,20,3792,sint-pieters-voeren,limburg","(5.8232275, 50.73797219999999)",50.73797219999999,5.8232275
118.0,kerkplein,1,3790,moelingen,limburg,"kerkplein,1,3790,moelingen,limburg","(5.7104343, 50.7567574)",50.7567574,5.7104343
120.0,kerkstraat,1,3790,voeren,limburg,"kerkstraat,1,3790,voeren,limburg","(5.8125437, 50.7494078)",50.7494078,5.8125437
167.0,vanhalstraat,1,1500,halle,vlaams-brabant,"vanhalstraat,1,1500,halle,vlaams-brabant","(4.234912899999999, 50.73248479999999)",50.73248479999999,4.234912899999999
170.0,brikkenovenstraat,48,3600,genk,limburg,"brikkenovenstraat,48,3600,genk,limburg","(5.4718846, 50.9777421)",50.9777421,5.4718846
219.0,rue des croisiers,15,4000,liège,liège,"rue des croisiers,15,4000,liège,liège","(5.575317099999999, 50.638932)",50.638932,5.575317099999999
221.0,rue de wallonie,30,4460,bierset,liège,"rue de wallonie,30,4460,bierset,liège","(5.4934921, 50.65781380000001)",50.65781380000001,5.4934921
222.0,rue paul d andrimont,24,4630,micheroux,liège,"rue paul d andrimont,24,4630,micheroux,liège","(5.711755699999999, 50.6230144)",50.6230144,5.711755699999999
223.0,bd. léon philippet,83,4000,liège,liège,"bd. léon philippet,83,4000,liège,liège","(5.5584547, 50.6529901)",50.6529901,5.5584547
224.0,rue du commerce,14,4100,seraing,liège,"rue du commerce,14,4100,seraing,liège","(5.5076623, 50.61296859999999)",50.61296859999999,5.5076623
225.0,rue peetermans,80,4100,seraing,liège,"rue peetermans,80,4100,seraing,liège","(5.5101301, 50.6108128)",50.6108128,5.5101301
226.0,rue j. stassart,15,4367,crisnée,liège,"rue j. stassart,15,4367,crisnée,liège","(5.392242899999999, 50.7081855)",50.7081855,5.392242899999999
227.0,route de dinant,119,4020,liège,liège,"route de dinant,119,4020,liège,liège","(5.5823234, 50.6415737)",50.6415737,5.5823234
228.0,rue de huy,123,4300,waremme,liège,"rue de huy,123,4300,waremme,liège","(5.253145200000001, 50.68623220000001)",50.68623220000001,5.253145200000001
229.0,rue de sélys,35,4300,waremme,liège,"rue de sélys,35,4300,waremme,liège","(5.245361, 50.69257899999999)",50.69257899999999,5.245361
230.0,rue st. pierre,48,4500,huy,liège,"rue st. pierre,48,4500,huy,liège","(5.2363117, 50.5230569)",50.5230569,5.2363117
231.0,avenue delchambre,6,4500,huy,liège,"avenue delchambre,6,4500,huy,liège","(5.241730899999999, 50.5217995)",50.5217995,5.241730899999999
232.0,rue lambert marlet,23,4020,liège,liège,"rue lambert marlet,23,4020,liège,liège","(5.7220189, 50.6863168)",50.6863168,5.7220189
233.0,rue aux laines,69,4800,verviers,liège,"rue aux laines,69,4800,verviers,liège","(5.853944299999999, 50.5894863)",50.5894863,5.853944299999999
234.0,rue av. peltzer,40,4020,liège,liège,"rue av. peltzer,40,4020,liège,liège","(5.8541304, 50.5832226)",50.5832226,5.8541304
235.0,route du canada,157,4910,la reid,liège,"route du canada,157,4910,la reid,liège","(5.790589, 50.4893888)",50.4893888,5.790589
238.0,route de botrange,131,4950,robertville,liège,"route de botrange,131,4950,robertville,liège","(6.0995656, 50.4934169)",50.4934169,6.0995656
240.0,avenue montesquieu,6,4101,jemeppe-sur-meuse,liège,"avenue montesquieu,6,4101,jemeppe-sur-meuse,liège","(5.515578199999999, 50.6198974)",50.6198974,5.515578199999999
259.0,rue de la bouviere,1,4190,vieuxville,liège,"rue de la bouviere,1,4190,vieuxville,liège","(5.54955, 50.39379)",50.39379,5.54955
277.0,adriaan brouwerstraat,24,2000,antwerpen,antwerpen,"adriaan brouwerstraat,24,2000,antwerpen,antwerpen","(4.4043543, 51.227416)",51.227416,4.4043543
282.0,kempenarestraat,53,2860,sint-katelijne-waver,antwerpen,"kempenarestraat,53,2860,sint-katelijne-waver,antwerpen","(4.5223492, 51.0627368)",51.0627368,4.5223492
310.0,koninginnelaan,1,8400,oostende,west-vlaanderen,"koninginnelaan,1,8400,oostende,west-vlaanderen","(2.9053408, 51.2263459)",51.2263459,2.9053408
311.0,northlaan,13,8400,oostende,west-vlaanderen,"northlaan,13,8400,oostende,west-vlaanderen","(2.8882336, 51.21764779999999)",51.21764779999999,2.8882336
312.0,kursaal - oosthelling,12,8400,oostende,west-vlaanderen,"kursaal - oosthelling,12,8400,oostende,west-vlaanderen","(2.9126867, 51.2315759)",51.2315759,2.9126867
313.0,leopold van tyghemlaan,62,8400,oostende,west-vlaanderen,"leopold van tyghemlaan,62,8400,oostende,west-vlaanderen","(2.8878064, 51.2174926)",51.2174926,2.8878064
315.0,wetstraat,23,1040,brussel,bruxelles-brussel,"wetstraat,23,1040,brussel,bruxelles-brussel","(4.3856343, 50.8418101)",50.8418101,4.3856343
